customer_tweet_id,customer_text,amazon_reply,candidate_intent,verified_intent,keep_in_golden_set,label_notes
2976527,"@AmazonHelp CS confirmed the package was not delivered and I would have to wait until tomorrow evening report it lost then I would get a full refund. Thing is, I ordered the specific bday gift for my husband because he really needs a new messenger bag for school and work. Super bummed","@820896 I'm terribly sorry for any inconvenience! When you reached out to us what options and insight did we provide? To confirm, have you received your order or are you still waiting? We want to ensure it arrives to you! ^GM",delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
1645170,"@AmazonHelp 1 Your package may be lost
Packages are rarely this late and we're sorry yours still hasn't arrived Refund option fails FYI",@502728 I'm so sorry for the delay. Will you tell us the most recent tracking update shown here: https://t.co/Y5jpI9gRhE. ^LH,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
993252,@AmazonHelp @115851 i think u r't undersatnding that was not delivered to me so u r retng money on last 8th shareng confrmtn not able to cntct on cal https://t.co/3LvuaKzJg4,@158410 The resolution provided in the email is the best we could offer. Please reply to the email for any further queries. ^GS,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
1707971,@AmazonHelp A package wasn't delivered on Fri but was marked delivered. Talked to cs on Sat&amp;was promised a refund&amp;that the package would arrive Sat1/4,"@517569 I'm sorry to hear we've let you down! Without posting acct. or order info, can you tell us a little more about the issue? ^BN",delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
1724893,@AmazonHelp An order today was not delivered by 8pm. I waited in front of my place of business and proceeded to cancel delivery due to not arriving.,@521700 We definitely don't want to disappoint you! Are you having trouble with a recent order? ^KB,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
438918,@AmazonHelp Apologies and I hope this gets resolved soon as the courier company is accepting that product was not delivered to me and sent back seller,@219265 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
489498,@AmazonHelp Are you referring to this as your request form??? A gentle reminder a courier guy came up asking for the Motorola phone. When it was not delivered why was he sent to collect the phone? I wonder what is happening in @115850 https://t.co/GSM6h8MZaD,"@231580 We understand your concern. As this is a social platform, we will not be able to check your order details here. Hence, requesting you to fill the form for further assistance. We will not be able to offer any order/account details here. ^RW",delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
584583,@AmazonHelp Arriving tomorrow. Was ordered on 26th Nov. To be delivered on 29th. Never arrived. Then told the 30th. Never arrived. Then told the 1st. Never arrived. Then told 3rd. Didn't arrive. Poor service Amazon.,"@257947 Hi, doe the tracking info give you any further details on what is happening with your orders? You can check here: https://t.co/aaDyEz1VgE.^BZ",delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
1606309,"@AmazonHelp As expected,the package was not delivered.seems we r more  sure about ur bad transport #amazonindia #badservice #outofcontrol",@199269 Request you to wait till the end of the day for the order to arrive. (2/2) ^GK,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
493374,"@AmazonHelp Commercial Address we are closed NOW, we had a very important client we needed something important from amazon and it was not delivered AT ALL and of course he won't come today because he will realize we are closed!",@232624 Our shippers recognise commercial addresses and will deliver parcels earlier than to residential addresses. Please confirm the latest tracking and carrier information here: https://t.co/0RVuLpDUGI We're happy to help you in any way possible.  ^SE,delivery_issue,delivery_issue,yes,Assistant-audited label based on the customer's primary issue; final independent human verification recommended.
